Prefix	FirstName	MiddleName	LastName	Suffix	Address	City	State	Zip+4	114 St/Dis	BioguideID	Party
The Honorable	Gus	M.	Bilirakis		2112 Rayburn House Office Building	Washington	DC	20515-0912	FL12	B001257	R
The Honorable	Mike		Bishop		428 Cannon House Office Building	Washington	DC	20515-2208	MI08	B001293	R
The Honorable	Rob		Bishop		123 Cannon House Office Building	Washington	DC	20515-4401	UT01	B001250	R
The Honorable	Sanford	D.	Bishop	Jr.	2407 Rayburn House Office Building	Washington	DC	20515-1002	GA02	B000490	D
The Honorable	Diane		Black		1131 Longworth House Office Building	Washington	DC	20515-4206	TN06	B001273	R
The Honorable	Marsha		Blackburn		2266 Rayburn House Office Building	Washington	DC	20515-4207	TN07	B001243	R
The Honorable	Rod		Blum		213 Cannon House Office Building	Washington	DC	20515-1501	IA01	B001294	R
The Honorable	Earl		Blumenauer		1111 Longworth House Office Building	Washington	DC	20515-3703	OR03	B000574	D
The Honorable	Suzanne		Bonamici		439 Cannon House Office Building	Washington	DC	20515-3701	OR01	B001278	D
The Honorable	Madeleine	Z.	Bordallo		2441 Rayburn House Office Building	Washington	DC	20515-5301	GU00	B001245	D
The Honorable	Mike		Bost		1440 Longworth House Office Building	Washington	DC	20515-1312	IL12	B001295	R
The Honorable	Charles	W.	Boustany	Jr.	1431 Longworth House Office Building	Washington	DC	20515-1803	LA03	B001255	R
The Honorable	Brendan	F.	Boyle		118 Cannon House Office Building	Washington	DC	20515-3813	PA13	B001296	D
The Honorable	Kevin		Brady		301 Cannon House Office Building	Washington	DC	20515-4308	TX08	B000755	R
The Honorable	Robert	A.	Brady		102 Cannon House Office Building	Washington	DC	20515-3801	PA01	B001227	D
The Honorable	Dave		Brat		330 Cannon House Office Building	Washington	DC	20515-4607	VA07	B001290	R
The Honorable	Jim		Bridenstine		216 Cannon House Office Building	Washington	DC	20515-3601	OK01	B001283	R
The Honorable	Mo		Brooks		1230 Longworth House Office Building	Washington	DC	20515-0105	AL05	B001274	R
The Honorable	Susan	W.	Brooks		1505 Longworth House Office Building	Washington	DC	20515-1405	IN05	B001284	R
The Honorable	Corrine		Brown		2111 Rayburn House Office Building	Washington	DC	20515-0905	FL05	B000911	D
The Honorable	Julia		Brownley		1019 Longworth House Office Building	Washington	DC	20515-0526	CA26	B001285	D
The Honorable	Vern		Buchanan		2104 Rayburn House Office Building	Washington	DC	20515-0916	FL16	B001260	R
The Honorable	Ken		Buck		416 Cannon House Office Building	Washington	DC	20515-0604	CO04	B001297	R
The Honorable	Larry		Bucshon		1005 Longworth House Office Building	Washington	DC	20515-1408	IN08	B001275	R
The Honorable	Michael	C.	Burgess		2336 Rayburn House Office Building	Washington	DC	20515-4326	TX26	B001248	R
The Honorable	Cheri		Bustos		1009 Longworth House Office Building	Washington	DC	20515-1317	IL17	B001286	D
The Honorable	G.	K.	Butterfield		2305 Rayburn House Office Building	Washington	DC	20515-3301	NC01	B001251	D
The Honorable	Bradley		Byrne		119 Cannon House Office Building	Washington	DC	20515-0101	AL01	B001289	R
The Honorable	Ken		Calvert		2205 Rayburn House Office Building	Washington	DC	20515-0542	CA42	C000059	R
The Honorable	Lois		Capps		2231 Rayburn House Office Building	Washington	DC	20515-0524	CA24	C001036	D
The Honorable	Michael	E.	Capuano		1414 Longworth House Office Building	Washington	DC	20515-2107	MA07	C001037	D
The Honorable	Tony		Cárdenas		1510 Longworth House Office Building	Washington	DC	20515-0529	CA29	C001097	D
The Honorable	John	C.	Carney	Jr.	1406 Longworth House Office Building	Washington	DC	20515-0800	DE00	C001083	D
The Honorable	André		Carson		2453 Rayburn House Office Building	Washington	DC	20515-1407	IN07	C001072	D
The Honorable	Earl	"L. “Buddy"""	Carter		432 Cannon House Office Building	Washington	DC	20515-1001	GA01	C001103	R
The Honorable	John	R.	Carter		2110 Rayburn House Office Building	Washington	DC	20515-4331	TX31	C001051	R
The Honorable	Matt		Cartwright		1419 Longworth House Office Building	Washington	DC	20515-3817	PA17	C001090	D
The Honorable	Kathy		Castor		205 Cannon House Office Building	Washington	DC	20515-0914	FL14	C001066	D
The Honorable	Joaquin		Castro		212 Cannon House Office Building	Washington	DC	20515-4320	TX20	C001091	D
The Honorable	Steve		Chabot		2371 Rayburn House Office Building	Washington	DC	20515-3501	OH01	C000266	R
The Honorable	Jason		Chaffetz		2236 Rayburn House Office Building	Washington	DC	20515-4403	UT03	C001076	R
The Honorable	Judy		Chu		2423 Rayburn House Office Building	Washington	DC	20515-0527	CA27	C001080	D
The Honorable	David	N.	Cicilline		2244 Rayburn House Office Building	Washington	DC	20515-3901	RI01	C001084	D
The Honorable	Katherine	M.	Clark		1721 Longworth House Office Building	Washington	DC	20515-2105	MA05	C001101	D
The Honorable	Yvette	D.	Clarke		2351 Rayburn House Office Building	Washington	DC	20515-3209	NY09	C001067	D
The Honorable	Curt		Clawson		228 Cannon House Office Building	Washington	DC	20515-0919	FL19	C001102	R
The Honorable	Wm.	Lacy	Clay		2428 Rayburn House Office Building	Washington	DC	20515-2501	MO01	C001049	D
The Honorable	Emanuel		Cleaver		2335 Rayburn House Office Building	Washington	DC	20515-2505	MO05	C001061	D
The Honorable	James	E.	Clyburn		242 Cannon House Office Building	Washington	DC	20515-4006	SC06	C000537	D
The Honorable	Mike		Coffman		2443 Rayburn House Office Building	Washington	DC	20515-0606	CO06	C001077	R
The Honorable	Steve		Cohen		2404 Rayburn House Office Building	Washington	DC	20515-4209	TN09	C001068	D
The Honorable	Tom		Cole		2467 Rayburn House Office Building	Washington	DC	20515-3604	OK04	C001053	R
The Honorable	Chris		Collins		1117 Longworth House Office Building	Washington	DC	20515-3227	NY27	C001092	R
The Honorable	Doug		Collins		1504 Longworth House Office Building	Washington	DC	20515-1009	GA09	C001093	R
The Honorable	Barbara		Comstock		226 Cannon House Office Building	Washington	DC	20515-4610	VA10	C001105	R
The Honorable	K.	Michael	Conaway		2430 Rayburn House Office Building	Washington	DC	20515-4311	TX11	C001062	R
The Honorable	Gerald	E.	Connolly		2238 Rayburn House Office Building	Washington	DC	20515-4611	VA11	C001078	D
The Honorable	John		Conyers	Jr.	2426 Rayburn House Office Building	Washington	DC	20515-2213	MI13	C000714	D
The Honorable	Paul		Cook		1222 Longworth House Office Building	Washington	DC	20515-0508	CA08	C001094	R
The Honorable	Jim		Cooper		1536 Longworth House Office Building	Washington	DC	20515-4205	TN05	C000754	D
The Honorable	Jim		Costa		1314 Longworth House Office Building	Washington	DC	20515-0516	CA16	C001059	D
The Honorable	Ryan	A.	Costello		427 Cannon House Office Building	Washington	DC	20515-3806	PA06	C001106	R
The Honorable	Joe		Courtney		2348 Rayburn House Office Building	Washington	DC	20515-0702	CT02	C001069	D
The Honorable	Kevin		Cramer		1032 Longworth House Office Building	Washington	DC	20515-3400	ND00	C001096	R
The Honorable	Eric	A. “Rick”	Crawford		1711 Longworth House Office Building	Washington	DC	20515-0401	AR01	C001087	R
The Honorable	Ander		Crenshaw		2161 Rayburn House Office Building	Washington	DC	20515-0904	FL04	C001045	R
The Honorable	Joseph		Crowley		1436 Longworth House Office Building	Washington	DC	20515-3214	NY14	C001038	D
The Honorable	Henry		Cuellar		2209 Rayburn House Office Building	Washington	DC	20515-4328	TX28	C001063	D
The Honorable	John	Abney	Culberson		2372 Rayburn House Office Building	Washington	DC	20515-4307	TX07	C001048	R
The Honorable	Elijah	E.	Cummings		2230 Rayburn House Office Building	Washington	DC	20515-2007	MD07	C000984	D
The Honorable	Carlos		Curbelo		1429 Longworth House Office Building	Washington	DC	20515-0926	FL26	C001107	R
The Honorable	Danny	K.	Davis		2159 Rayburn House Office Building	Washington	DC	20515-1307	IL07	D000096	D
The Honorable	Rodney		Davis		1740 Longworth House Office Building	Washington	DC	20515-1313	IL13	D000619	R
The Honorable	Susan	A.	Davis		1214 Longworth House Office Building	Washington	DC	20515-0553	CA53	D000598	D
The Honorable	Peter	A.	DeFazio		2134 Rayburn House Office Building	Washington	DC	20515-3704	OR04	D000191	D
The Honorable	Diana		DeGette		2368 Rayburn House Office Building	Washington	DC	20515-0601	CO01	D000197	D
The Honorable	John	K.	Delaney		1632 Longworth House Office Building	Washington	DC	20515-2006	MD06	D000620	D
The Honorable	Rosa	L.	DeLauro		2413 Rayburn House Office Building	Washington	DC	20515-0703	CT03	D000216	D
The Honorable	Suzan	K.	DelBene		318 Cannon House Office Building	Washington	DC	20515-4701	WA01	D000617	D
The Honorable	Jeff		Denham		1730 Longworth House Office Building	Washington	DC	20515-0510	CA10	D000612	R
The Honorable	Charles	W.	Dent		2211 Rayburn House Office Building	Washington	DC	20515-3815	PA15	D000604	R
The Honorable	Ron		DeSantis		308 Cannon House Office Building	Washington	DC	20515-0906	FL06	D000621	R
The Honorable	Mark		DeSaulnier		327 Cannon House Office Building	Washington	DC	20515-0511	CA11	D000623	D
The Honorable	Scott		DesJarlais		413 Cannon House Office Building	Washington	DC	20515-4204	TN04	D000616	R
The Honorable	Theodore	E.	Deutch		2447 Rayburn House Office Building	Washington	DC	20515-0921	FL21	D000610	D
The Honorable	Mario		Diaz-Balart		440 Cannon House Office Building	Washington	DC	20515-0925	FL25	D000600	R
The Honorable	Debbie		Dingell		116 Cannon House Office Building	Washington	DC	20515-2212	MI12	D000624	D
The Honorable	Lloyd		Doggett		2307 Rayburn House Office Building	Washington	DC	20515-4335	TX35	D000399	D
The Honorable	Robert	J.	Dold		221 Cannon House Office Building	Washington	DC	20515-1310	IL10	D000613	R
The Honorable	Daniel	M.	Donovan	Jr.	1725 Longworth House Office Building	Washington	DC	20515-3211	NY11	D000625	R
The Honorable	Michael	F.	Doyle		239 Cannon House Office Building	Washington	DC	20515-3814	PA14	D000482	D
The Honorable	Tammy		Duckworth		104 Cannon House Office Building	Washington	DC	20515-1308	IL08	D000622	D
The Honorable	Sean	P.	Duffy		1208 Longworth House Office Building	Washington	DC	20515-4907	WI07	D000614	R
The Honorable	Jeff		Duncan		106 Cannon House Office Building	Washington	DC	20515-4003	SC03	D000615	R
The Honorable	John	J.	Duncan	Jr.	2207 Rayburn House Office Building	Washington	DC	20515-4202	TN02	D000533	R
The Honorable	Donna	F.	Edwards		2445 Rayburn House Office Building	Washington	DC	20515-2004	MD04	E000290	D
The Honorable	Keith		Ellison		2263 Rayburn House Office Building	Washington	DC	20515-2305	MN05	E000288	D
The Honorable	Renee	L.	Ellmers		1210 Longworth House Office Building	Washington	DC	20515-3302	NC02	E000291	R
The Honorable	Tom		Emmer		503 Cannon House Office Building	Washington	DC	20515-2306	MN06	E000294	R
The Honorable	Eliot	L.	Engel		2462 Rayburn House Office Building	Washington	DC	20515-3216	NY16	E000179	D
The Honorable	Anna	G.	Eshoo		241 Cannon House Office Building	Washington	DC	20515-0518	CA18	E000215	D
The Honorable	Elizabeth	H.	Esty		405 Cannon House Office Building	Washington	DC	20515-0705	CT05	E000293	D
The Honorable	Blake		Farenthold		1027 Longworth House Office Building	Washington	DC	20515-4327	TX27	F000460	R
The Honorable	Sam		Farr		1126 Longworth House Office Building	Washington	DC	20515-0520	CA20	F000030	D
The Honorable	Chaka		Fattah		2301 Rayburn House Office Building	Washington	DC	20515-3802	PA02	F000043	D
The Honorable	Stephen	Lee	Fincher		2452 Rayburn House Office Building	Washington	DC	20515-4208	TN08	F000458	R
The Honorable	Michael	G.	Fitzpatrick		2400 Rayburn House Office Building	Washington	DC	20515-3808	PA08	F000451	R
The Honorable	Charles	J. “Chuck”	Fleischmann		230 Cannon House Office Building	Washington	DC	20515-4203	TN03	F000459	R
The Honorable	John		Fleming		2182 Rayburn House Office Building	Washington	DC	20515-1804	LA04	F000456	R
The Honorable	Bill		Flores		1030 Longworth House Office Building	Washington	DC	20515-4317	TX17	F000461	R
The Honorable	J.	Randy	Forbes		2135 Rayburn House Office Building	Washington	DC	20515-4604	VA04	F000445	R
The Honorable	Jeff		Fortenberry		1514 Longworth House Office Building	Washington	DC	20515-2701	NE01	F000449	R
The Honorable	Bill		Foster		1224 Longworth House Office Building	Washington	DC	20515-1311	IL11	F000454	D
The Honorable	Virginia		Foxx		2350 Rayburn House Office Building	Washington	DC	20515-3305	NC05	F000450	R
The Honorable	Lois		Frankel		1037 Longworth House Office Building	Washington	DC	20515-0922	FL22	F000462	D
The Honorable	Trent		Franks		2435 Rayburn House Office Building	Washington	DC	20515-0308	AZ08	F000448	R
The Honorable	Rodney	P.	Frelinghuysen		2306 Rayburn House Office Building	Washington	DC	20515-3011	NJ11	F000372	R
The Honorable	Marcia	L.	Fudge		2344 Rayburn House Office Building	Washington	DC	20515-3511	OH11	F000455	D
The Honorable	Tulsi		Gabbard		1609 Longworth House Office Building	Washington	DC	20515-1102	HI02	G000571	D
The Honorable	Ruben		Gallego		1218 Longworth House Office Building	Washington	DC	20515-0307	AZ07	G000574	D
The Honorable	John		Garamendi		2438 Rayburn House Office Building	Washington	DC	20515-0503	CA03	G000559	D
The Honorable	Scott		Garrett		2232 Rayburn House Office Building	Washington	DC	20515-3005	NJ05	G000548	R
The Honorable	Bob		Gibbs		329 Cannon House Office Building	Washington	DC	20515-3507	OH07	G000563	R
The Honorable	Christopher	P.	Gibson		1708 Longworth House Office Building	Washington	DC	20515-3219	NY19	G000564	R
The Honorable	Louie		Gohmert		2243 Rayburn House Office Building	Washington	DC	20515-4301	TX01	G000552	R
The Honorable	Bob		Goodlatte		2309 Rayburn House Office Building	Washington	DC	20515-4606	VA06	G000289	R
The Honorable	Paul	A.	Gosar		504 Cannon House Office Building	Washington	DC	20515-0304	AZ04	G000565	R
The Honorable	Trey		Gowdy		1404 Longworth House Office Building	Washington	DC	20515-4004	SC04	G000566	R
The Honorable	Gwen		Graham		1213 Longworth House Office Building	Washington	DC	20515-0902	FL02	G000575	D
The Honorable	Kay		Granger		1026 Longworth House Office Building	Washington	DC	20515-4312	TX12	G000377	R
The Honorable	Garret		Graves		204 Cannon House Office Building	Washington	DC	20515-1806	LA06	G000577	R
The Honorable	Sam		Graves		1415 Longworth House Office Building	Washington	DC	20515-2506	MO06	G000546	R
The Honorable	Tom		Graves		2442 Rayburn House Office Building	Washington	DC	20515-1014	GA14	G000560	R
The Honorable	Alan		Grayson		303 Cannon House Office Building	Washington	DC	20515-0909	FL09	G000556	D
The Honorable	Al		Green		2347 Rayburn House Office Building	Washington	DC	20515-4309	TX09	G000553	D
The Honorable	Gene		Green		2470 Rayburn House Office Building	Washington	DC	20515-4329	TX29	G000410	D
The Honorable	H.	Morgan	Griffith		1108 Longworth House Office Building	Washington	DC	20515-4609	VA09	G000568	R
The Honorable	Raúl	M.	Grijalva		1511 Longworth House Office Building	Washington	DC	20515-0303	AZ03	G000551	D
The Honorable	Glenn		Grothman		501 Cannon House Office Building	Washington	DC	20515-4906	WI06	G000576	R
The Honorable	Frank	C.	Guinta		326 Cannon House Office Building	Washington	DC	20515-2901	NH01	G000570	R
The Honorable	Brett		Guthrie		2434 Rayburn House Office Building	Washington	DC	20515-1702	KY02	G000558	R
The Honorable	Luis	V.	Gutiérrez		2408 Rayburn House Office Building	Washington	DC	20515-1304	IL04	G000535	D
The Honorable	Janice		Hahn		404 Cannon House Office Building	Washington	DC	20515-0544	CA44	H001063	D
The Honorable	Richard	L.	Hanna		319 Cannon House Office Building	Washington	DC	20515-3222	NY22	H001051	R
The Honorable	Cresent		Hardy		430 Cannon House Office Building	Washington	DC	20515-2804	NV04	H001070	R
The Honorable	Gregg		Harper		307 Cannon House Office Building	Washington	DC	20515-2403	MS03	H001045	R
The Honorable	Andy		Harris		1533 Longworth House Office Building	Washington	DC	20515-2001	MD01	H001052	R
The Honorable	Vicky		Hartzler		2235 Rayburn House Office Building	Washington	DC	20515-2504	MO04	H001053	R
The Honorable	Alcee	L.	Hastings		2353 Rayburn House Office Building	Washington	DC	20515-0920	FL20	H000324	D
The Honorable	Denny		Heck		425 Cannon House Office Building	Washington	DC	20515-4710	WA10	H001064	D
The Honorable	Joseph	J.	Heck		132 Cannon House Office Building	Washington	DC	20515-2803	NV03	H001055	R
The Honorable	Jeb		Hensarling		2228 Rayburn House Office Building	Washington	DC	20515-4305	TX05	H001036	R
The Honorable	Jaime		Herrera Beutler		1130 Longworth House Office Building	Washington	DC	20515-4703	WA03	H001056	R
The Honorable	Jody	B.	Hice		1516 Longworth House Office Building	Washington	DC	20515-1010	GA10	H001071	R
The Honorable	Brian		Higgins		2459 Rayburn House Office Building	Washington	DC	20515-3226	NY26	H001038	D
The Honorable	J.	French	Hill		1229 Longworth House Office Building	Washington	DC	20515-0402	AR02	H001072	R
The Honorable	James	A.	Himes		1227 Longworth House Office Building	Washington	DC	20515-0704	CT04	H001047	D
The Honorable	Rubén		Hinojosa		2262 Rayburn House Office Building	Washington	DC	20515-4315	TX15	H000636	D
The Honorable	George		Holding		507 Cannon House Office Building	Washington	DC	20515-3313	NC13	H001065	R
The Honorable	Michael	M.	Honda		1713 Longworth House Office Building	Washington	DC	20515-0517	CA17	H001034	D
The Honorable	Steny	H.	Hoyer		1705 Longworth House Office Building	Washington	DC	20515-2005	MD05	H000874	D
The Honorable	Richard		Hudson		429 Cannon House Office Building	Washington	DC	20515-3308	NC08	H001067	R
The Honorable	Tim		Huelskamp		1110 Longworth House Office Building	Washington	DC	20515-1601	KS01	H001057	R
The Honorable	Jared		Huffman		1630 Longworth House Office Building	Washington	DC	20515-0502	CA02	H001068	D
The Honorable	Bill		Huizenga		1217 Longworth House Office Building	Washington	DC	20515-2202	MI02	H001058	R
The Honorable	Randy		Hultgren		2455 Rayburn House Office Building	Washington	DC	20515-1314	IL14	H001059	R
The Honorable	Duncan		Hunter		2429 Rayburn House Office Building	Washington	DC	20515-0550	CA50	H001048	R
The Honorable	Will		Hurd		317 Cannon House Office Building	Washington	DC	20515-4323	TX23	H001073	R
The Honorable	Robert		Hurt		125 Cannon House Office Building	Washington	DC	20515-4605	VA05	H001060	R
The Honorable	Steve		Israel		2457 Rayburn House Office Building	Washington	DC	20515-3203	NY03	I000057	D
The Honorable	Darrell	E.	Issa		2269 Rayburn House Office Building	Washington	DC	20515-0549	CA49	I000056	R
The Honorable	Sheila		Jackson Lee		2252 Rayburn House Office Building	Washington	DC	20515-4318	TX18	J000032	D
The Honorable	Hakeem	S.	Jeffries		1607 Longworth House Office Building	Washington	DC	20515-3208	NY08	J000294	D
The Honorable	Evan	H.	Jenkins		502 Cannon House Office Building	Washington	DC	20515-4803	WV03	J000297	R
The Honorable	Lynn		Jenkins		1526 Longworth House Office Building	Washington	DC	20515-1602	KS02	J000290	R
The Honorable	Bill		Johnson		1710 Longworth House Office Building	Washington	DC	20515-3506	OH06	J000292	R
The Honorable	Eddie	Bernice	Johnson		2468 Rayburn House Office Building	Washington	DC	20515-4330	TX30	J000126	D
The Honorable	Henry	C. “Hank”	Johnson	Jr.	2240 Rayburn House Office Building	Washington	DC	20515-1004	GA04	J000288	D
The Honorable	Sam		Johnson		2304 Rayburn House Office Building	Washington	DC	20515-4303	TX03	J000174	R
The Honorable	David	W.	Jolly		1728 Longworth House Office Building	Washington	DC	20515-0913	FL13	J000296	R
The Honorable	Walter	B.	Jones		2333 Rayburn House Office Building	Washington	DC	20515-3303	NC03	J000255	R
The Honorable	Jim		Jordan		1524 Longworth House Office Building	Washington	DC	20515-3504	OH04	J000289	R
The Honorable	David	P.	Joyce		1124 Longworth House Office Building	Washington	DC	20515-3514	OH14	J000295	R
The Honorable	Marcy		Kaptur		2186 Rayburn House Office Building	Washington	DC	20515-3509	OH09	K000009	D
The Honorable	John		Katko		1123 Longworth House Office Building	Washington	DC	20515-3224	NY24	K000386	R
The Honorable	William	R.	Keating		315 Cannon House Office Building	Washington	DC	20515-2109	MA09	K000375	D
The Honorable	Mike		Kelly		1519 Longworth House Office Building	Washington	DC	20515-3803	PA03	K000376	R
The Honorable	Robin	L.	Kelly		1239 Longworth House Office Building	Washington	DC	20515-1302	IL02	K000385	D
The Honorable	Trent		Kelly		1427 Longworth House Office Building	Washington	DC	20515-2401	MS01	K000388	R
The Honorable	Joseph	P.	Kennedy	III	306 Cannon House Office Building	Washington	DC	20515-2104	MA04	K000379	D
The Honorable	Daniel	T.	Kildee		227 Cannon House Office Building	Washington	DC	20515-2205	MI05	K000380	D
The Honorable	Derek		Kilmer		1520 Longworth House Office Building	Washington	DC	20515-4706	WA06	K000381	D
The Honorable	Ron		Kind		1502 Longworth House Office Building	Washington	DC	20515-4903	WI03	K000188	D
The Honorable	Peter	T.	King		339 Cannon House Office Building	Washington	DC	20515-3202	NY02	K000210	R
The Honorable	Steve		King		2210 Rayburn House Office Building	Washington	DC	20515-1504	IA04	K000362	R
The Honorable	Adam		Kinzinger		1221 Longworth House Office Building	Washington	DC	20515-1316	IL16	K000378	R
The Honorable	Ann		Kirkpatrick		201 Cannon House Office Building	Washington	DC	20515-0301	AZ01	K000368	D
The Honorable	John		Kline		2439 Rayburn House Office Building	Washington	DC	20515-2302	MN02	K000363	R
The Honorable	Stephen		Knight		1023 Longworth House Office Building	Washington	DC	20515-0525	CA25	K000387	R
The Honorable	Ann	M.	Kuster		137 Cannon House Office Building	Washington	DC	20515-2902	NH02	K000382	D
The Honorable	Raúl	R.	Labrador		1523 Longworth House Office Building	Washington	DC	20515-1201	ID01	L000573	R
The Honorable	Darin		LaHood		2464 Rayburn House Office Building	Washington	DC	20515-1318	IL18	L000585	R
The Honorable	Doug		LaMalfa		322 Cannon House Office Building	Washington	DC	20515-0501	CA01	L000578	R
The Honorable	Doug		Lamborn		2402 Rayburn House Office Building	Washington	DC	20515-0605	CO05	L000564	R
The Honorable	Leonard		Lance		2352 Rayburn House Office Building	Washington	DC	20515-3007	NJ07	L000567	R
The Honorable	James	R.	Langevin		109 Cannon House Office Building	Washington	DC	20515-3902	RI02	L000559	D
The Honorable	Rick		Larsen		2113 Rayburn House Office Building	Washington	DC	20515-4702	WA02	L000560	D
The Honorable	John	B.	Larson		1501 Longworth House Office Building	Washington	DC	20515-0701	CT01	L000557	D
The Honorable	Robert	E.	Latta		2448 Rayburn House Office Building	Washington	DC	20515-3505	OH05	L000566	R
The Honorable	Brenda	L.	Lawrence		1237 Longworth House Office Building	Washington	DC	20515-2214	MI14	L000581	D
The Honorable	Barbara		Lee		2267 Rayburn House Office Building	Washington	DC	20515-0513	CA13	L000551	D
The Honorable	Sander	M.	Levin		1236 Longworth House Office Building	Washington	DC	20515-2209	MI09	L000263	D
The Honorable	John		Lewis		343 Cannon House Office Building	Washington	DC	20515-1005	GA05	L000287	D
The Honorable	Ted		Lieu		415 Cannon House Office Building	Washington	DC	20515-0533	CA33	L000582	D
The Honorable	Daniel		Lipinski		2346 Rayburn House Office Building	Washington	DC	20515-1303	IL03	L000563	D
The Honorable	Frank	A.	LoBiondo		2427 Rayburn House Office Building	Washington	DC	20515-3002	NJ02	L000554	R
The Honorable	David		Loebsack		1527 Longworth House Office Building	Washington	DC	20515-1502	IA02	L000565	D
The Honorable	Zoe		Lofgren		1401 Longworth House Office Building	Washington	DC	20515-0519	CA19	L000397	D
The Honorable	Billy		Long		1541 Longworth House Office Building	Washington	DC	20515-2507	MO07	L000576	R
The Honorable	Barry		Loudermilk		238 Cannon House Office Building	Washington	DC	20515-1011	GA11	L000583	R
The Honorable	Mia	B.	Love		217 Cannon House Office Building	Washington	DC	20515-4404	UT04	L000584	R
The Honorable	Alan	S.	Lowenthal		108 Cannon House Office Building	Washington	DC	20515-0547	CA47	L000579	D
The Honorable	Nita	M.	Lowey		2365 Rayburn House Office Building	Washington	DC	20515-3217	NY17	L000480	D
The Honorable	Frank	D.	Lucas		2405 Rayburn House Office Building	Washington	DC	20515-3603	OK03	L000491	R
The Honorable	Blaine		Luetkemeyer		2440 Rayburn House Office Building	Washington	DC	20515-2503	MO03	L000569	R
The Honorable	Ben	Ray	Luján		2446 Rayburn House Office Building	Washington	DC	20515-3103	NM03	L000570	D
The Honorable	Michelle		Lujan Grisham		214 Cannon House Office Building	Washington	DC	20515-3101	NM01	L000580	D
The Honorable	Cynthia	M.	Lummis		2433 Rayburn House Office Building	Washington	DC	20515-5000	WY00	L000571	R
The Honorable	Stephen	F.	Lynch		2369 Rayburn House Office Building	Washington	DC	20515-2108	MA08	L000562	D
The Honorable	Thomas		MacArthur		506 Cannon House Office Building	Washington	DC	20515-3003	NJ03	M001193	R
The Honorable	Carolyn	B.	Maloney		2308 Rayburn House Office Building	Washington	DC	20515-3212	NY12	M000087	D
The Honorable	Sean	Patrick	Maloney		1529 Longworth House Office Building	Washington	DC	20515-3218	NY18	M001185	D
The Honorable	Kenny		Marchant		2313 Rayburn House Office Building	Washington	DC	20515-4324	TX24	M001158	R
The Honorable	Tom		Marino		410 Cannon House Office Building	Washington	DC	20515-3810	PA10	M001179	R
The Honorable	Thomas		Massie		314 Cannon House Office Building	Washington	DC	20515-1704	KY04	M001184	R
The Honorable	Doris	O.	Matsui		2311 Rayburn House Office Building	Washington	DC	20515-0506	CA06	M001163	D
The Honorable	Kevin		McCarthy		2421 Rayburn House Office Building	Washington	DC	20515-0523	CA23	M001165	R
The Honorable	Michael	T.	McCaul		131 Cannon House Office Building	Washington	DC	20515-4310	TX10	M001157	R
The Honorable	Tom		McClintock		2331 Rayburn House Office Building	Washington	DC	20515-0504	CA04	M001177	R
The Honorable	Betty		McCollum		2256 Rayburn House Office Building	Washington	DC	20515-2304	MN04	M001143	D
The Honorable	Jim		McDermott		1035 Longworth House Office Building	Washington	DC	20515-4707	WA07	M000404	D
The Honorable	James	P.	McGovern		438 Cannon House Office Building	Washington	DC	20515-2102	MA02	M000312	D
The Honorable	Patrick	T.	McHenry		2334 Rayburn House Office Building	Washington	DC	20515-3310	NC10	M001156	R
The Honorable	David	B.	McKinley		412 Cannon House Office Building	Washington	DC	20515-4801	WV01	M001180	R
